,MSR,i,q,phase,qubit,iteration,state
unit,volt,volt,volt,radian,,,
0,0.00036687442512301475,-0.0001046694815158844,-0.0003516264259815216,-1.8601163412152737,1,0,0
1,0.00037282725437267126,-0.00012055039405822754,-0.0003527998924255371,-1.9000545133331384,1,1,0
2,0.0003412378228991538,-0.0001637674868106842,-0.00029937177896499634,-2.07136195655167,1,2,0
3,0.00039789018405448246,-5.1625072956085205e-05,-0.000394526869058609,-1.700910184071522,1,3,0
4,0.00042914459571346647,-9.756535291671753e-05,-0.000417906790971756,-1.8001502745214042,1,4,0
5,0.00038682494031792343,-0.0001701563596725464,-0.0003473907709121704,-2.026260812401833,1,5,0
6,0.0003442873284625098,-0.0001253671944141388,-0.0003206506371498108,-1.9435005972959347,1,6,0
7,0.00036295917982806503,-0.00013054534792900085,-0.00033866986632347107,-1.938709996211018,1,7,0
8,0.0003772757764877576,-3.767386078834534e-05,-0.00037539005279541016,-1.6708206508074146,1,8,0
9,0.0003950526141500084,-0.00012703239917755127,-0.00037407130002975464,-1.898170931013128,1,9,0
10,0.00032855568840069757,-8.98502767086029e-05,-0.000316031277179718,-1.8477955174297875,1,10,0
11,0.0003026615097843102,-0.00011821091175079346,-0.0002786219120025635,-1.9720484743691606,1,11,0
12,0.0005962075994661233,-0.00011329725384712219,-0.0005853436887264252,-1.7619888997172561,1,12,0
13,0.00047829194966466135,-0.0001853853464126587,-0.0004409030079841614,-1.9688215754694498,1,13,0
14,0.0003550882325394892,-0.0001233331859111786,-0.0003329813480377197,-1.9255198330987722,1,14,0
15,0.0003273007893959571,-8.747726678848267e-05,-0.00031539425253868103,-1.841353862055115,1,15,0
16,0.0003865495006232384,-4.628673195838928e-05,-0.000383768230676651,-1.6908276946586744,1,16,0
17,0.00032433125299698254,-0.0001057945191860199,-0.00030659139156341553,-1.9030695967601148,1,17,0
18,0.00036292719112730764,-0.00013744458556175232,-0.00033589452505111694,-1.959199684345113,1,18,0
19,0.00037861731423549216,-9.185448288917542e-05,-0.0003673061728477478,-1.8158465805948056,1,19,0
20,0.00036996876889978676,-0.00016874447464942932,-0.0003292448818683624,-2.044409425783082,1,20,0
21,0.00029919266891461276,-0.00015434622764587402,-0.0002563074231147766,-2.1128258840548693,1,21,0
22,0.00037598753713942684,-0.0001563839614391327,-0.0003419220447540283,-1.9997599826359607,1,22,0
23,0.0003687480516607423,-0.00023099780082702637,-0.00028742849826812744,-2.2477713662651997,1,23,0
